gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
Female,47,CA,Free,88,87,0.56,Web,24,0,0
Female,35,IN,Student,68,78,0.59,Web,0,1,0
Male,47,FR,Premium,46,54,0.2,Desktop,0,1,1
Female,42,PK,Free,284,70,0.52,Web,33,0,0
Other,44,US,Student,118,3,0.25,Desktop,0,1,0
Other,48,FR,Premium,72,26,0.55,Web,0,1,1
Male,48,DE,Free,278,34,0.09,Mobile,13,0,1
Other,49,PK,Family,173,98,0.19,Mobile,0,1,1
Male,47,AU,Family,295,60,0.12,Web,0,1,0
Other,58,US,Family,251,82,0.18,Desktop,0,1,0
Male,20,DE,Family,138,6,0.44,Web,0,1,0
Male,47,UK,Free,119,24,0.47,Desktop,14,0,0
Female,44,AU,Premium,43,82,0.48,Mobile,0,1,1
Other,34,FR,Free,152,22,0.04,Web,14,0,0
Other,24,UK,Student,75,29,0.26,Mobile,0,1,0
Female,21,FR,Premium,108,93,0.24,Web,0,1,0
Female,21,US,Family,126,96,0.02,Mobile,0,1,0
Male,55,PK,Family,160,81,0.42,Mobile,0,1,1
Male,30,AU,Free,26,15,0.59,Mobile,27,0,0
Male,41,CA,Student,64,88,0.33,Web,0,1,1
Other,31,FR,Student,299,52,0.21,Desktop,0,1,0
Female,26,UK,Free,94,34,0.12,Web,15,0,1
Male,17,DE,Family,191,24,0.02,Web,0,1,0
Female,49,FR,Family,133,38,0.33,Desktop,0,1,0
Male,51,FR,Family,92,58,0.0,Desktop,0,1,0
Male,32,US,Free,28,11,0.19,Mobile,41,0,0
Other,57,FR,Premium,22,2,0.18,Web,0,1,0
Female,59,PK,Premium,146,70,0.58,Desktop,0,1,0
Other,53,US,Family,201,19,0.15,Web,0,1,0
Male,57,CA,Student,211,7,0.6,Web,0,1,0
Male,54,UK,Free,185,20,0.02,Web,24,0,0
Other,21,UK,Student,61,13,0.6,Desktop,0,1,0
Female,31,AU,Premium,56,19,0.47,Web,0,1,1
Female,28,FR,Family,225,73,0.35,Mobile,0,1,1
Other,46,UK,Free,126,98,0.03,Web,9,0,0
Female,23,US,Free,203,32,0.35,Desktop,48,0,0
Female,47,PK,Free,114,86,0.16,Mobile,20,0,0
Other,38,CA,Free,279,83,0.55,Mobile,18,0,0
Female,45,AU,Premium,83,40,0.52,Web,0,1,0
Female,49,AU,Family,55,12,0.21,Web,0,1,0
Male,43,IN,Free,205,12,0.08,Web,26,0,1
Other,45,AU,Student,93,96,0.5,Mobile,0,1,0
Female,57,CA,Free,247,32,0.32,Desktop,36,0,1
Other,17,US,Free,23,75,0.16,Mobile,46,0,0
Other,46,AU,Free,68,92,0.43,Desktop,34,0,1
Other,59,US,Premium,137,33,0.0,Mobile,0,1,0
Male,29,IN,Family,31,32,0.09,Web,0,1,0
Male,51,US,Free,30,46,0.34,Web,28,0,0
Male,32,DE,Free,62,43,0.01,Desktop,47,0,0
Other,21,AU,Student,143,6,0.36,Web,0,1,0
Female,39,CA,Free,112,35,0.56,Mobile,16,0,0
Other,52,FR,Family,98,35,0.23,Mobile,0,1,0
Other,25,FR,Family,81,99,0.39,Mobile,0,1,0
Other,46,FR,Student,165,87,0.57,Desktop,0,1,0
Female,31,PK,Family,151,93,0.08,Web,0,1,0
Male,45,IN,Family,123,97,0.02,Mobile,0,1,0
Other,29,US,Free,216,86,0.53,Web,28,0,1
Female,20,DE,Student,293,17,0.2,Web,0,1,1
Other,36,CA,Premium,262,90,0.39,Desktop,0,1,1
Male,38,AU,Free,196,83,0.03,Desktop,31,0,0
Female,41,UK,Family,190,24,0.5,Mobile,0,1,0
Other,50,AU,Student,266,49,0.35,Desktop,0,1,0
Other,19,DE,Premium,200,34,0.14,Web,0,1,1
Other,54,IN,Free,60,46,0.52,Desktop,25,0,1
Other,46,UK,Free,154,38,0.25,Web,6,0,0
Female,30,US,Family,91,47,0.33,Mobile,0,1,0
Male,16,UK,Free,104,99,0.11,Mobile,11,0,0
Other,33,US,Family,217,16,0.39,Mobile,0,1,0
Other,47,PK,Student,187,99,0.48,Web,0,1,0
Male,38,FR,Family,98,7,0.55,Desktop,0,1,1
Other,43,FR,Family,188,85,0.22,Web,0,1,1
Female,33,IN,Free,244,57,0.42,Desktop,28,0,1
Female,49,FR,Free,164,84,0.05,Mobile,7,0,0
Female,50,AU,Family,295,61,0.1,Desktop,0,1,0
Other,55,DE,Free,220,13,0.26,Mobile,21,0,1
Male,48,FR,Free,46,58,0.57,Web,21,0,1
Male,51,PK,Family,127,59,0.21,Web,0,1,0
Other,23,AU,Family,270,72,0.21,Web,0,1,1
Male,47,DE,Free,151,88,0.44,Web,31,0,0
Female,42,FR,Free,122,17,0.4,Web,24,0,0
Female,23,AU,Student,170,17,0.14,Desktop,0,1,0
Female,42,AU,Student,294,79,0.45,Mobile,0,1,0
Female,28,CA,Free,29,72,0.34,Desktop,41,0,0
Male,33,IN,Student,77,56,0.34,Web,0,1,0
Male,20,CA,Family,10,1,0.56,Mobile,0,1,0
Female,47,DE,Free,34,14,0.44,Desktop,34,0,0
Male,35,PK,Premium,172,25,0.42,Web,0,1,1
Male,35,PK,Student,78,8,0.05,Mobile,0,1,1
Male,54,PK,Family,297,53,0.34,Web,0,1,1
Male,47,UK,Free,18,22,0.59,Mobile,43,0,0
Other,49,DE,Family,75,81,0.57,Mobile,0,1,1
Female,44,PK,Free,75,21,0.17,Mobile,19,0,0
Other,21,PK,Premium,82,73,0.26,Mobile,0,1,1
Female,44,AU,Family,89,80,0.32,Web,0,1,0
Other,49,DE,Family,242,93,0.29,Mobile,0,1,0
Other,30,DE,Student,50,29,0.16,Mobile,0,1,0
Female,48,AU,Free,168,25,0.19,Web,38,0,0
Other,38,PK,Family,217,38,0.34,Desktop,0,1,0
Female,48,CA,Student,254,16,0.45,Mobile,0,1,0
Female,44,PK,Student,190,36,0.27,Web,0,1,0
Female,26,PK,Family,123,19,0.13,Web,0,1,1
Male,34,CA,Family,47,58,0.59,Web,0,1,1
Female,41,UK,Premium,194,82,0.17,Web,0,1,0
Male,44,FR,Family,67,66,0.53,Mobile,0,1,0
Male,40,AU,Free,296,41,0.23,Desktop,13,0,0
Female,51,FR,Premium,118,80,0.23,Web,0,1,0
Other,48,UK,Family,284,97,0.15,Desktop,0,1,0
Female,56,PK,Student,245,10,0.5,Web,0,1,0
Female,43,FR,Premium,149,37,0.26,Desktop,0,1,1
Other,47,DE,Family,281,31,0.19,Mobile,0,1,0
Male,36,CA,Family,265,69,0.16,Desktop,0,1,0
Male,27,FR,Student,56,31,0.16,Desktop,0,1,0
Male,53,IN,Student,43,89,0.53,Desktop,0,1,0
Female,27,FR,Student,220,93,0.34,Mobile,0,1,0
Female,39,AU,Family,53,39,0.01,Web,0,1,0
Male,39,IN,Family,146,32,0.41,Mobile,0,1,0
Female,53,IN,Free,12,90,0.09,Mobile,39,0,0
Other,18,UK,Family,256,17,0.1,Desktop,0,1,1
Other,20,US,Free,290,44,0.05,Web,20,0,0
Other,20,US,Free,123,80,0.33,Web,22,0,0
Female,40,FR,Free,174,12,0.2,Desktop,15,0,1
Female,18,IN,Family,64,41,0.54,Desktop,0,1,0
Other,37,UK,Premium,185,65,0.19,Web,0,1,0
Other,31,DE,Premium,85,92,0.18,Desktop,0,1,0
Male,18,IN,Premium,255,75,0.57,Mobile,0,1,0
Female,48,PK,Family,162,24,0.15,Desktop,0,1,0
Female,37,CA,Family,262,53,0.55,Desktop,0,1,0
Other,21,PK,Premium,230,46,0.44,Mobile,0,1,0
Other,38,CA,Family,294,33,0.07,Desktop,0,1,0
Female,18,PK,Free,146,85,0.51,Desktop,19,0,0
Other,43,IN,Free,105,66,0.48,Desktop,36,0,0
Other,51,FR,Premium,147,77,0.09,Web,0,1,0
Male,22,CA,Family,275,18,0.12,Desktop,0,1,0
Female,43,AU,Student,299,39,0.12,Desktop,0,1,0
Male,33,FR,Family,220,81,0.16,Mobile,0,1,0
Male,54,CA,Student,272,98,0.58,Web,0,1,0
Female,20,PK,Student,264,80,0.3,Web,0,1,1
Female,18,CA,Free,54,38,0.56,Mobile,30,0,0
Other,26,CA,Free,23,87,0.11,Mobile,27,0,0
Other,30,CA,Student,43,43,0.08,Web,0,1,0
Male,22,CA,Premium,169,28,0.4,Mobile,0,1,1
Male,24,DE,Free,52,21,0.52,Mobile,5,0,0
Female,48,DE,Family,189,92,0.23,Web,0,1,0
Male,31,US,Premium,14,92,0.31,Desktop,0,1,0
Male,23,US,Premium,51,63,0.15,Web,0,1,0
Male,33,CA,Student,41,22,0.55,Desktop,0,1,1
Male,38,US,Family,98,19,0.42,Mobile,0,1,0
Female,35,FR,Premium,94,33,0.54,Mobile,0,1,1
Male,23,DE,Student,261,60,0.4,Desktop,0,1,0
Male,19,CA,Premium,180,40,0.32,Web,0,1,0
Other,26,CA,Family,178,53,0.52,Mobile,0,1,0
Other,50,AU,Student,31,39,0.58,Mobile,0,1,1
Other,25,FR,Family,299,99,0.3,Desktop,0,1,0
Female,41,CA,Premium,240,58,0.14,Desktop,0,1,1
Male,42,DE,Family,233,45,0.02,Desktop,0,1,0
Female,53,IN,Free,95,88,0.31,Mobile,13,0,0
Other,34,AU,Student,155,21,0.35,Mobile,0,1,1
Other,56,IN,Family,65,68,0.05,Web,0,1,1
Other,31,UK,Free,160,35,0.52,Desktop,8,0,0
Female,40,US,Student,129,29,0.12,Web,0,1,0
Other,20,AU,Student,290,46,0.4,Desktop,0,1,0
Other,53,PK,Free,49,70,0.11,Desktop,24,0,0
Other,21,CA,Family,51,86,0.03,Web,0,1,0
Male,30,US,Free,81,30,0.35,Web,42,0,0
Other,45,FR,Premium,124,5,0.18,Desktop,0,1,1
Other,18,AU,Family,200,75,0.26,Web,0,1,1
Other,48,IN,Family,70,70,0.06,Desktop,0,1,0
Male,52,IN,Student,99,41,0.49,Web,0,1,1
Female,28,DE,Family,202,44,0.1,Web,0,1,0
Other,18,PK,Premium,105,82,0.37,Desktop,0,1,0
Female,57,AU,Student,57,93,0.1,Desktop,0,1,0
Female,26,FR,Student,248,67,0.09,Desktop,0,1,0
Male,25,UK,Free,164,32,0.2,Mobile,25,0,0
Male,54,IN,Premium,85,69,0.39,Web,0,1,0
Male,20,CA,Student,26,81,0.54,Desktop,0,1,0
Male,32,FR,Family,208,56,0.15,Web,0,1,0
Other,47,CA,Family,28,25,0.5,Web,0,1,0
Male,32,CA,Premium,10,24,0.47,Web,0,1,0
Male,18,DE,Student,290,31,0.45,Desktop,0,1,0
Male,51,US,Student,153,62,0.42,Desktop,0,1,0
Male,57,DE,Premium,200,88,0.41,Desktop,0,1,0
Other,46,DE,Free,273,61,0.15,Mobile,9,0,0
Male,20,US,Premium,254,96,0.38,Desktop,0,1,0
Other,57,FR,Premium,298,39,0.09,Mobile,0,1,1
Other,53,UK,Premium,146,97,0.05,Desktop,0,1,0
Other,44,CA,Premium,84,68,0.04,Mobile,0,1,0
Other,48,PK,Family,134,81,0.24,Mobile,0,1,0
Other,54,AU,Student,125,11,0.21,Desktop,0,1,0
Male,48,US,Premium,72,65,0.11,Desktop,0,1,1
Other,48,AU,Premium,264,85,0.58,Web,0,1,0
Male,35,IN,Premium,67,38,0.19,Desktop,0,1,0
Male,33,FR,Family,187,81,0.44,Desktop,0,1,0
Male,21,US,Student,24,6,0.59,Desktop,0,1,0
Other,59,PK,Family,29,79,0.45,Web,0,1,0
Other,58,FR,Student,125,49,0.12,Desktop,0,1,0
Other,23,FR,Student,201,57,0.42,Desktop,0,1,0
Male,59,UK,Student,186,92,0.12,Mobile,0,1,1
Male,22,CA,Student,54,84,0.14,Mobile,0,1,0
Male,55,DE,Free,236,48,0.25,Web,8,0,0
Female,40,AU,Premium,114,88,0.55,Mobile,0,1,0
Male,36,FR,Family,176,67,0.46,Web,0,1,0
Other,46,DE,Premium,251,69,0.59,Desktop,0,1,0
Male,56,CA,Premium,129,25,0.48,Web,0,1,0
Other,28,PK,Family,201,95,0.24,Web,0,1,1
Female,59,FR,Premium,49,42,0.3,Mobile,0,1,0
Other,51,UK,Student,239,73,0.03,Desktop,0,1,0
Male,27,CA,Premium,30,63,0.41,Desktop,0,1,0
Male,54,DE,Premium,237,72,0.1,Mobile,0,1,0
Male,16,CA,Free,97,5,0.6,Mobile,32,0,0
Female,18,FR,Family,178,59,0.27,Mobile,0,1,0
Female,36,US,Free,133,88,0.5,Desktop,49,0,0
Male,50,PK,Family,169,50,0.2,Mobile,0,1,0
Male,41,UK,Student,291,52,0.41,Web,0,1,0
Male,41,PK,Student,276,69,0.07,Web,0,1,0
Female,25,AU,Premium,46,69,0.04,Web,0,1,0
Male,57,CA,Family,53,50,0.45,Desktop,0,1,0
Male,46,IN,Premium,201,74,0.39,Desktop,0,1,0
Other,53,PK,Family,164,82,0.29,Desktop,0,1,1
Other,44,IN,Premium,259,15,0.44,Web,0,1,0
Other,55,UK,Student,128,11,0.03,Mobile,0,1,0
Male,58,IN,Premium,42,45,0.21,Mobile,0,1,0
Male,20,AU,Family,258,59,0.48,Desktop,0,1,0
Other,31,IN,Family,263,8,0.38,Mobile,0,1,0
Other,49,FR,Family,45,15,0.34,Web,0,1,1
Male,19,UK,Free,24,60,0.1,Mobile,26,0,0
Male,19,UK,Free,241,20,0.57,Mobile,26,0,0
Other,35,AU,Student,41,8,0.17,Web,0,1,1
Male,36,IN,Premium,252,85,0.55,Mobile,0,1,0
Male,37,US,Student,236,60,0.15,Web,0,1,0
Other,46,US,Student,173,68,0.51,Web,0,1,0
Other,24,DE,Student,279,60,0.24,Mobile,0,1,1
Male,57,AU,Family,286,47,0.25,Web,0,1,0
Female,46,CA,Premium,170,38,0.6,Web,0,1,0
Female,41,CA,Student,98,20,0.5,Web,0,1,1
Male,43,CA,Student,150,37,0.23,Desktop,0,1,0
Other,25,UK,Premium,139,8,0.48,Mobile,0,1,1
Male,35,PK,Family,39,81,0.16,Desktop,0,1,0
Other,36,CA,Family,164,90,0.26,Mobile,0,1,0
Female,46,DE,Family,282,7,0.25,Desktop,0,1,0
Male,26,CA,Premium,175,52,0.48,Mobile,0,1,1
Other,22,FR,Premium,271,14,0.41,Web,0,1,0
Male,48,UK,Student,268,11,0.19,Mobile,0,1,0
Female,30,CA,Free,146,93,0.33,Web,28,0,0
Other,52,US,Family,134,73,0.55,Desktop,0,1,0
Other,39,IN,Premium,283,57,0.11,Web,0,1,0
Other,40,US,Student,181,91,0.57,Mobile,0,1,0
Male,36,AU,Family,213,29,0.34,Desktop,0,1,0
Male,58,DE,Free,206,11,0.56,Desktop,8,0,0
Female,55,PK,Free,127,81,0.0,Mobile,47,0,0
Other,49,DE,Family,169,31,0.08,Mobile,0,1,0
Female,28,DE,Premium,60,65,0.01,Mobile,0,1,0
Other,24,FR,Family,95,51,0.31,Desktop,0,1,0
Other,41,PK,Premium,33,91,0.16,Mobile,0,1,0
Male,33,CA,Student,241,99,0.53,Desktop,0,1,0
Female,56,UK,Student,105,52,0.2,Mobile,0,1,1
Male,26,AU,Free,210,81,0.53,Web,14,0,0
Other,19,US,Premium,277,33,0.31,Web,0,1,0
Female,50,AU,Premium,168,76,0.38,Desktop,0,1,0
Male,28,IN,Student,54,44,0.03,Web,0,1,0
Other,28,IN,Free,268,48,0.07,Desktop,43,0,0
Other,55,CA,Student,190,44,0.48,Desktop,0,1,0
Other,49,CA,Family,291,13,0.2,Web,0,1,1
Female,31,CA,Student,249,6,0.31,Web,0,1,0
Male,19,DE,Student,53,72,0.56,Web,0,1,0
Female,37,UK,Student,88,86,0.19,Web,0,1,0
Other,19,IN,Student,158,8,0.29,Web,0,1,0
Male,44,FR,Premium,23,94,0.47,Web,0,1,0
Male,17,DE,Premium,163,30,0.36,Mobile,0,1,0
Female,32,DE,Free,100,37,0.04,Desktop,21,0,1
Female,35,AU,Premium,104,72,0.34,Desktop,0,1,0
Female,58,UK,Student,58,22,0.15,Mobile,0,1,0
Male,47,UK,Family,88,2,0.33,Mobile,0,1,0
Female,58,UK,Free,25,94,0.08,Desktop,42,0,0
Other,37,DE,Free,296,34,0.01,Desktop,46,0,1
Other,27,PK,Premium,262,88,0.02,Web,0,1,0
Other,46,DE,Family,264,85,0.27,Web,0,1,0
Male,18,FR,Premium,58,88,0.53,Web,0,1,0
Male,46,CA,Family,249,66,0.0,Desktop,0,1,0
Male,43,US,Free,208,29,0.4,Desktop,9,0,0
Female,20,IN,Free,278,16,0.01,Mobile,28,0,0
Male,53,DE,Free,15,27,0.46,Mobile,43,0,1
Female,48,AU,Premium,165,54,0.22,Desktop,0,1,1
Female,18,UK,Free,144,88,0.55,Mobile,23,0,0
Other,39,CA,Student,163,13,0.26,Web,0,1,0
Female,51,AU,Premium,28,48,0.09,Mobile,0,1,1
Male,21,AU,Student,77,13,0.21,Desktop,0,1,0
Female,47,IN,Premium,243,80,0.48,Web,0,1,0
Male,55,AU,Student,119,72,0.35,Web,0,1,0
Male,32,US,Premium,197,97,0.01,Desktop,0,1,1
Female,59,PK,Premium,39,5,0.37,Web,0,1,0
Male,59,FR,Free,14,98,0.42,Desktop,16,0,1
Male,26,FR,Student,193,17,0.55,Web,0,1,0
Male,36,IN,Premium,60,41,0.38,Desktop,0,1,0
Male,44,AU,Free,270,55,0.51,Web,43,0,0
Female,47,CA,Family,227,6,0.13,Desktop,0,1,0
Female,25,UK,Free,69,94,0.16,Desktop,18,0,0
Male,40,US,Premium,62,13,0.43,Mobile,0,1,0
Male,39,IN,Free,67,38,0.53,Web,36,0,0
Other,21,FR,Premium,208,21,0.04,Mobile,0,1,1
Other,56,FR,Free,63,64,0.56,Desktop,46,0,0
Other,42,UK,Free,169,69,0.49,Web,48,0,0
Male,30,DE,Free,206,88,0.22,Web,39,0,0
Other,19,IN,Family,110,71,0.16,Mobile,0,1,0
Male,20,AU,Family,60,9,0.15,Desktop,0,1,0
Female,23,FR,Premium,247,27,0.18,Web,0,1,0
Other,24,DE,Premium,98,17,0.17,Mobile,0,1,0
Other,55,IN,Student,214,68,0.48,Desktop,0,1,0
Female,32,AU,Premium,69,76,0.06,Web,0,1,0
Female,38,AU,Premium,163,77,0.05,Web,0,1,0
Female,18,US,Family,106,52,0.13,Desktop,0,1,1
Other,59,FR,Premium,119,77,0.25,Mobile,0,1,0
Female,27,PK,Premium,180,83,0.54,Web,0,1,0
Other,16,IN,Free,93,71,0.43,Web,21,0,0
Other,40,FR,Premium,58,83,0.27,Mobile,0,1,0
Other,19,CA,Family,219,90,0.32,Desktop,0,1,0
Other,55,UK,Free,92,66,0.49,Desktop,30,0,0
Other,51,CA,Free,25,88,0.36,Mobile,37,0,0
Female,52,CA,Free,37,18,0.42,Web,10,0,0
Female,18,DE,Free,298,12,0.18,Desktop,47,0,1
Female,53,PK,Student,267,47,0.49,Desktop,0,1,0
Other,44,FR,Free,80,82,0.43,Mobile,27,0,0
Other,56,AU,Family,87,24,0.3,Mobile,0,1,1
Other,38,AU,Free,186,43,0.54,Desktop,8,0,0
Other,26,UK,Premium,245,61,0.48,Desktop,0,1,0
Female,38,PK,Free,28,74,0.03,Web,20,0,0
Female,29,PK,Premium,80,52,0.53,Mobile,0,1,0
Female,19,FR,Free,119,99,0.38,Mobile,36,0,0
Male,17,US,Student,126,68,0.49,Web,0,1,0
Male,49,US,Free,28,18,0.01,Desktop,22,0,1
Male,46,PK,Family,96,91,0.37,Desktop,0,1,1
Other,53,US,Premium,14,96,0.14,Web,0,1,1
Female,33,AU,Student,155,17,0.58,Mobile,0,1,0
Other,23,CA,Family,213,71,0.45,Mobile,0,1,0
Female,30,PK,Student,173,92,0.38,Web,0,1,0
Female,57,US,Student,294,44,0.2,Desktop,0,1,0
Other,23,FR,Premium,83,14,0.15,Mobile,0,1,1
Other,17,CA,Premium,156,52,0.44,Mobile,0,1,0
Female,40,FR,Family,214,11,0.1,Web,0,1,0
Female,19,IN,Free,229,7,0.6,Web,37,0,0
Male,44,IN,Student,170,55,0.28,Desktop,0,1,0
Other,57,FR,Free,270,75,0.13,Mobile,18,0,0
Male,26,FR,Family,158,57,0.46,Web,0,1,0
Other,48,UK,Family,10,5,0.33,Web,0,1,0
Other,37,PK,Student,252,34,0.43,Mobile,0,1,1
Other,31,US,Family,139,5,0.5,Mobile,0,1,1
Female,58,CA,Premium,227,88,0.27,Web,0,1,0
Female,52,AU,Student,155,39,0.34,Mobile,0,1,1
Other,41,IN,Premium,201,46,0.13,Mobile,0,1,0
Male,20,CA,Student,146,73,0.34,Web,0,1,1
Other,20,PK,Family,81,41,0.29,Mobile,0,1,0
Female,52,IN,Free,252,63,0.34,Web,29,0,0
Male,43,UK,Premium,167,59,0.45,Web,0,1,0
Female,24,IN,Family,261,63,0.17,Mobile,0,1,0
Female,36,DE,Premium,43,28,0.45,Mobile,0,1,0
Male,53,DE,Student,232,94,0.12,Mobile,0,1,1
Female,49,US,Student,204,41,0.07,Desktop,0,1,1
Other,26,UK,Family,274,48,0.59,Desktop,0,1,1
Other,54,AU,Free,296,74,0.22,Desktop,10,0,0
Male,35,US,Free,223,97,0.08,Mobile,27,0,0
Female,26,DE,Premium,292,78,0.37,Desktop,0,1,1
Female,30,FR,Premium,18,95,0.47,Web,0,1,0
Female,28,FR,Free,250,58,0.44,Web,6,0,0
Male,35,AU,Family,158,78,0.2,Desktop,0,1,0
Female,57,FR,Free,256,62,0.56,Mobile,49,0,0
Male,30,PK,Family,54,68,0.01,Mobile,0,1,0
Male,46,FR,Student,156,29,0.52,Mobile,0,1,0
Female,48,AU,Premium,126,59,0.26,Web,0,1,0
Male,28,UK,Student,240,31,0.56,Mobile,0,1,0
Female,43,IN,Family,82,11,0.49,Desktop,0,1,0
Other,43,CA,Premium,251,21,0.34,Desktop,0,1,0
Female,33,DE,Student,43,59,0.51,Desktop,0,1,0
Other,59,CA,Student,270,86,0.43,Mobile,0,1,1
Male,28,AU,Premium,160,2,0.24,Mobile,0,1,0
Female,23,PK,Premium,266,60,0.0,Web,0,1,0
Other,30,DE,Free,171,50,0.33,Web,24,0,0
Female,21,US,Family,154,8,0.35,Web,0,1,0
Male,43,IN,Free,164,42,0.49,Desktop,6,0,1
Female,56,US,Free,294,20,0.1,Web,7,0,1
Other,37,DE,Premium,18,60,0.1,Mobile,0,1,0
Other,36,DE,Free,190,45,0.36,Mobile,24,0,0
Female,56,CA,Premium,74,86,0.08,Mobile,0,1,1
Male,25,AU,Free,93,6,0.47,Desktop,39,0,0
Other,42,FR,Family,205,5,0.42,Desktop,0,1,0
Other,50,PK,Family,170,39,0.26,Mobile,0,1,0
Female,35,US,Family,33,29,0.16,Desktop,0,1,0
Female,52,PK,Free,188,86,0.54,Desktop,29,0,0
Other,16,IN,Free,72,95,0.17,Web,43,0,0
Male,53,US,Free,167,80,0.13,Mobile,40,0,0
Female,52,DE,Student,126,59,0.45,Web,0,1,1
Other,42,US,Family,75,8,0.52,Desktop,0,1,1
Other,34,AU,Free,167,31,0.32,Mobile,41,0,0
Female,27,UK,Student,158,77,0.55,Mobile,0,1,0
Male,33,CA,Family,225,23,0.25,Mobile,0,1,0
Male,17,US,Student,196,21,0.54,Mobile,0,1,0
Male,25,CA,Free,163,92,0.21,Desktop,8,0,0
Male,57,UK,Premium,125,20,0.1,Web,0,1,0
Female,18,US,Free,240,74,0.18,Desktop,46,0,0
Male,31,FR,Free,166,72,0.45,Mobile,20,0,0
Female,17,AU,Student,119,35,0.11,Desktop,0,1,0
Other,30,IN,Free,183,61,0.32,Desktop,36,0,0
Other,35,AU,Free,55,51,0.16,Mobile,12,0,0
Male,56,FR,Premium,280,4,0.14,Desktop,0,1,0
Other,46,UK,Family,283,33,0.4,Desktop,0,1,0
Other,27,CA,Family,261,74,0.09,Desktop,0,1,0
Female,31,AU,Family,205,53,0.13,Web,0,1,1
Male,19,AU,Premium,84,78,0.04,Mobile,0,1,0
Female,40,FR,Student,167,81,0.53,Mobile,0,1,0
Male,26,FR,Free,35,18,0.23,Web,41,0,0
Female,42,FR,Student,73,32,0.25,Desktop,0,1,1
Male,33,UK,Premium,54,44,0.5,Web,0,1,0
Other,59,AU,Premium,106,37,0.53,Mobile,0,1,0
Male,41,CA,Family,140,82,0.43,Mobile,0,1,1
Other,31,CA,Family,200,24,0.15,Desktop,0,1,0
Male,31,IN,Family,274,36,0.13,Desktop,0,1,0
Male,43,IN,Premium,75,43,0.57,Desktop,0,1,1
Female,51,PK,Premium,166,77,0.29,Web,0,1,0
Female,45,AU,Premium,203,88,0.33,Mobile,0,1,0
Female,35,PK,Family,18,35,0.19,Desktop,0,1,0
Female,17,AU,Family,127,75,0.09,Mobile,0,1,1
Male,32,FR,Student,198,5,0.21,Mobile,0,1,0
Other,21,PK,Premium,265,68,0.57,Desktop,0,1,0
Male,37,UK,Student,119,57,0.1,Web,0,1,0
Female,25,AU,Student,55,93,0.58,Mobile,0,1,0
Other,56,FR,Free,298,74,0.41,Web,12,0,0
Other,37,PK,Premium,189,30,0.53,Mobile,0,1,1
Male,31,CA,Free,139,65,0.56,Mobile,9,0,0
Other,23,US,Student,167,91,0.22,Mobile,0,1,1
Other,31,US,Free,19,27,0.53,Mobile,16,0,0
Male,58,AU,Student,298,82,0.36,Desktop,0,1,0
Other,43,UK,Premium,54,36,0.3,Desktop,0,1,0
Male,17,AU,Free,89,15,0.19,Mobile,40,0,1
Female,33,IN,Premium,57,16,0.08,Web,0,1,0
Other,32,UK,Family,105,17,0.17,Web,0,1,0
Female,19,FR,Premium,85,65,0.01,Desktop,0,1,0
Female,47,AU,Premium,144,6,0.46,Mobile,0,1,1
Male,44,AU,Free,24,95,0.15,Mobile,7,0,0
Other,33,CA,Student,287,53,0.02,Mobile,0,1,0
Other,34,UK,Student,32,36,0.48,Desktop,0,1,0
Male,19,CA,Premium,286,26,0.08,Desktop,0,1,0
Female,47,CA,Family,54,53,0.19,Desktop,0,1,0
Male,40,FR,Student,14,51,0.04,Mobile,0,1,1
Male,59,FR,Premium,195,67,0.57,Desktop,0,1,0
Female,44,AU,Family,274,49,0.43,Desktop,0,1,0
Other,41,US,Student,232,94,0.16,Desktop,0,1,0
Other,19,UK,Free,102,34,0.36,Desktop,43,0,0
Male,47,CA,Premium,123,42,0.54,Mobile,0,1,1
Female,34,US,Free,171,94,0.03,Web,24,0,0
Other,57,IN,Family,223,19,0.46,Mobile,0,1,0
Other,42,IN,Student,158,21,0.1,Mobile,0,1,1
Female,24,FR,Free,161,62,0.2,Desktop,26,0,0
Female,40,PK,Premium,43,32,0.02,Web,0,1,1
Male,58,PK,Premium,35,4,0.25,Mobile,0,1,0
Female,29,CA,Premium,66,30,0.08,Mobile,0,1,0
Other,23,PK,Premium,115,13,0.16,Mobile,0,1,0
Female,46,AU,Premium,152,88,0.02,Desktop,0,1,0
Female,44,DE,Family,44,86,0.56,Mobile,0,1,1
Other,55,IN,Family,63,11,0.24,Desktop,0,1,1
Other,55,IN,Student,220,35,0.31,Desktop,0,1,0
Male,47,PK,Free,32,52,0.33,Desktop,48,0,0
Female,24,IN,Free,170,23,0.37,Desktop,23,0,0
Female,38,FR,Family,10,10,0.56,Web,0,1,0
Other,48,AU,Free,172,63,0.41,Mobile,33,0,0
Male,47,FR,Free,192,11,0.42,Mobile,44,0,0
Other,46,US,Premium,13,68,0.58,Web,0,1,0
Other,35,US,Free,234,79,0.44,Desktop,9,0,0
Other,17,US,Free,222,92,0.57,Web,16,0,1
Other,52,FR,Family,223,47,0.18,Desktop,0,1,0
Female,41,FR,Free,40,44,0.39,Web,43,0,0
Male,23,IN,Family,242,14,0.24,Mobile,0,1,0
Male,25,UK,Premium,265,36,0.21,Mobile,0,1,0
Female,27,AU,Family,225,48,0.19,Web,0,1,0
Other,25,IN,Family,67,22,0.09,Mobile,0,1,1
